代名詞,,名詞,,サ変名詞,,形容動詞,,固有名詞,,組織名,,人名,,地名,,ナイ形容,,副詞可能,,未知語,,タグ,,動詞,,形容詞,,副詞,,名詞B,,動詞B,,形容詞B,,副詞B,,名詞C,,否定助動詞,,形容詞（非自立）,
キミ,185,未来,40,一緒,26,大切,18,セイ,3,朝日,4,ゴー,3,日,2,頼り,2,今,71,NO,45,記念日,7,泣く,37,強い,17,キラキラ,14,うた,12,する,74,ない,39,もっと,25,夢,110,ない,186,いい,13
みんな,55,場所,31,約束,15,大好き,11,ウラ,2,ココロ,3,たか,2,ナイアガラ,1,,,明日,38,Happy,35,,,走る,29,遠い,16,ドキドキ,12,ありったけ,6,いる,33,いい,8,もう,24,手,48,ぬ,23,ほしい,2
何,31,世界,17,アタック,6,ステキ,10,タテ,2,パ,1,ていこ,2,バレ,1,,,ひとつ,28,GIRL,29,,,待つ,27,熱い,13,シャンシャン,11,かけ,5,なる,33,まぶしい,8,そう,20,空,30,,,よい,2
わたし,30,勇気,16,覚悟,6,好き,8,スマ,1,毎日,1,てる,2,開,1,,,今日,25,GO,24,,,歌う,21,優しい,10,初めて,7,がら,5,ある,31,おしい,6,すぐ,18,歌,29,,,,
私,24,気持ち,15,息,6,特別,5,リ,1,,,カラダ,2,繋,1,,,前,24,THE,23,,,行く,21,新しい,9,もう一度,6,ときめき,5,なれる,17,くらい,2,きっと,15,声,28,,,,
誰,23,自分,14,旅,6,急,4,リン,1,,,キミ,2,七色,1,,,いつ,23,Girls,22,,,追いかける,20,切ない,8,ドーン,6,おもちゃ,4,あわせる,13,つらい,2,ずっと,15,心,27,,,,
それ,15,キズ,13,スタート,5,幸せ,4,,,,,神,2,出会,1,,,夏,21,SUN,21,,,聞こえる,20,果てしない,7,少し,4,ひとり,3,あふれる,12,まばゆい,2,まだ,15,愛,25,,,,
どこ,15,ホント,12,パーティ,5,精一杯,4,,,,,うさぎ,1,朝,1,,,いつか,18,UP,21,,,感じる,19,高い,6,今さら,3,まぶた,3,ときめく,11,よい,2,いつも,14,星,19,,,,
ここ,14,笑顔,12,記憶,5,大事,4,,,,,りさ,1,,,,,瞬間,16,(Wo...),20,,,言う,18,早い,6,ワクワク,2,かけがえ,2,ねる,11,あたたかい,1,そっと,12,風,19,,,,
